end,start,tweet_count
2020-03-02T00:00:00.000Z,2020-03-01T00:00:00.000Z,8957
2020-03-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,6450
2020-03-04T00:00:00.000Z,2020-03-03T00:00:00.000Z,7115
2020-03-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,7053
2020-03-06T00:00:00.000Z,2020-03-05T00:00:00.000Z,7334
2020-03-07T00:00:00.000Z,2020-03-06T00:00:00.000Z,7428
2020-03-08T00:00:00.000Z,2020-03-07T00:00:00.000Z,9258
2020-03-09T00:00:00.000Z,2020-03-08T00:00:00.000Z,8497
2020-03-10T00:00:00.000Z,2020-03-09T00:00:00.000Z,6352
2020-03-11T00:00:00.000Z,2020-03-10T00:00:00.000Z,6596
2020-03-12T00:00:00.000Z,2020-03-11T00:00:00.000Z,7481
2020-03-13T00:00:00.000Z,2020-03-12T00:00:00.000Z,8004
2020-03-14T00:00:00.000Z,2020-03-13T00:00:00.000Z,9275
2020-03-15T00:00:00.000Z,2020-03-14T00:00:00.000Z,9355
2020-03-16T00:00:00.000Z,2020-03-15T00:00:00.000Z,9108
2020-03-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,8529
2020-03-18T00:00:00.000Z,2020-03-17T00:00:00.000Z,9951
2020-03-19T00:00:00.000Z,2020-03-18T00:00:00.000Z,10905
2020-03-20T00:00:00.000Z,2020-03-19T00:00:00.000Z,10661
2020-03-21T00:00:00.000Z,2020-03-20T00:00:00.000Z,11797
2020-03-22T00:00:00.000Z,2020-03-21T00:00:00.000Z,11861
2020-03-23T00:00:00.000Z,2020-03-22T00:00:00.000Z,11707
2020-03-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,11536
2020-03-25T00:00:00.000Z,2020-03-24T00:00:00.000Z,11534
2020-03-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,11611
2020-03-27T00:00:00.000Z,2020-03-26T00:00:00.000Z,12260
2020-03-28T00:00:00.000Z,2020-03-27T00:00:00.000Z,11709
2020-03-29T00:00:00.000Z,2020-03-28T00:00:00.000Z,12434
2020-03-30T00:00:00.000Z,2020-03-29T00:00:00.000Z,11474
2020-03-31T00:00:00.000Z,2020-03-30T00:00:00.000Z,10515
2020-04-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,10746
2020-04-02T00:00:00.000Z,2020-04-01T00:00:00.000Z,10651
2020-04-03T00:00:00.000Z,2020-04-02T00:00:00.000Z,11167
2020-04-04T00:00:00.000Z,2020-04-03T00:00:00.000Z,11396
2020-04-05T00:00:00.000Z,2020-04-04T00:00:00.000Z,11712
2020-04-06T00:00:00.000Z,2020-04-05T00:00:00.000Z,11800
2020-04-07T00:00:00.000Z,2020-04-06T00:00:00.000Z,10604
2020-04-08T00:00:00.000Z,2020-04-07T00:00:00.000Z,9998
2020-04-09T00:00:00.000Z,2020-04-08T00:00:00.000Z,10159
2020-04-10T00:00:00.000Z,2020-04-09T00:00:00.000Z,10976
2020-04-11T00:00:00.000Z,2020-04-10T00:00:00.000Z,11793
2020-04-12T00:00:00.000Z,2020-04-11T00:00:00.000Z,11734
2020-04-13T00:00:00.000Z,2020-04-12T00:00:00.000Z,11028
2020-04-14T00:00:00.000Z,2020-04-13T00:00:00.000Z,8971
2020-04-15T00:00:00.000Z,2020-04-14T00:00:00.000Z,8663
2020-04-16T00:00:00.000Z,2020-04-15T00:00:00.000Z,9063
2020-04-17T00:00:00.000Z,2020-04-16T00:00:00.000Z,10323
2020-04-18T00:00:00.000Z,2020-04-17T00:00:00.000Z,10562
2020-04-19T00:00:00.000Z,2020-04-18T00:00:00.000Z,10725
2020-04-20T00:00:00.000Z,2020-04-19T00:00:00.000Z,9854
2020-04-21T00:00:00.000Z,2020-04-20T00:00:00.000Z,8621
2020-04-22T00:00:00.000Z,2020-04-21T00:00:00.000Z,8971
2020-04-23T00:00:00.000Z,2020-04-22T00:00:00.000Z,9425
2020-04-24T00:00:00.000Z,2020-04-23T00:00:00.000Z,9405
2020-04-25T00:00:00.000Z,2020-04-24T00:00:00.000Z,10316
2020-04-26T00:00:00.000Z,2020-04-25T00:00:00.000Z,9565
2020-04-27T00:00:00.000Z,2020-04-26T00:00:00.000Z,9085
2020-04-28T00:00:00.000Z,2020-04-27T00:00:00.000Z,8291
2020-04-29T00:00:00.000Z,2020-04-28T00:00:00.000Z,8772
2020-04-30T00:00:00.000Z,2020-04-29T00:00:00.000Z,8802
2020-05-01T00:00:00.000Z,2020-04-30T00:00:00.000Z,9787
2020-05-02T00:00:00.000Z,2020-05-01T00:00:00.000Z,10148
2020-05-03T00:00:00.000Z,2020-05-02T00:00:00.000Z,9145
2020-05-04T00:00:00.000Z,2020-05-03T00:00:00.000Z,8586
2020-05-05T00:00:00.000Z,2020-05-04T00:00:00.000Z,8002
2020-05-06T00:00:00.000Z,2020-05-05T00:00:00.000Z,8501
2020-05-07T00:00:00.000Z,2020-05-06T00:00:00.000Z,8484
2020-05-08T00:00:00.000Z,2020-05-07T00:00:00.000Z,9323
2020-05-09T00:00:00.000Z,2020-05-08T00:00:00.000Z,9988
2020-05-10T00:00:00.000Z,2020-05-09T00:00:00.000Z,8887
2020-05-11T00:00:00.000Z,2020-05-10T00:00:00.000Z,10945
2020-05-12T00:00:00.000Z,2020-05-11T00:00:00.000Z,9211
2020-05-13T00:00:00.000Z,2020-05-12T00:00:00.000Z,9046
2020-05-14T00:00:00.000Z,2020-05-13T00:00:00.000Z,8774
2020-05-15T00:00:00.000Z,2020-05-14T00:00:00.000Z,9063
2020-05-16T00:00:00.000Z,2020-05-15T00:00:00.000Z,9016
2020-05-17T00:00:00.000Z,2020-05-16T00:00:00.000Z,9960
2020-05-18T00:00:00.000Z,2020-05-17T00:00:00.000Z,8402
2020-05-19T00:00:00.000Z,2020-05-18T00:00:00.000Z,8236
2020-05-20T00:00:00.000Z,2020-05-19T00:00:00.000Z,8639
2020-05-21T00:00:00.000Z,2020-05-20T00:00:00.000Z,9165
2020-05-22T00:00:00.000Z,2020-05-21T00:00:00.000Z,8769
2020-05-23T00:00:00.000Z,2020-05-22T00:00:00.000Z,10095
2020-05-24T00:00:00.000Z,2020-05-23T00:00:00.000Z,10842
2020-05-25T00:00:00.000Z,2020-05-24T00:00:00.000Z,11463
2020-05-26T00:00:00.000Z,2020-05-25T00:00:00.000Z,12283
2020-05-27T00:00:00.000Z,2020-05-26T00:00:00.000Z,9236
2020-05-28T00:00:00.000Z,2020-05-27T00:00:00.000Z,10049
2020-05-29T00:00:00.000Z,2020-05-28T00:00:00.000Z,9658
2020-05-30T00:00:00.000Z,2020-05-29T00:00:00.000Z,10133
2020-05-31T00:00:00.000Z,2020-05-30T00:00:00.000Z,9550
2020-06-01T00:00:00.000Z,2020-05-31T00:00:00.000Z,9197
2020-06-02T00:00:00.000Z,2020-06-01T00:00:00.000Z,8116
2020-06-03T00:00:00.000Z,2020-06-02T00:00:00.000Z,8075
2020-06-04T00:00:00.000Z,2020-06-03T00:00:00.000Z,9169
2020-06-05T00:00:00.000Z,2020-06-04T00:00:00.000Z,8809
2020-06-06T00:00:00.000Z,2020-06-05T00:00:00.000Z,9201
2020-06-07T00:00:00.000Z,2020-06-06T00:00:00.000Z,9253
2020-06-08T00:00:00.000Z,2020-06-07T00:00:00.000Z,9049
2020-06-09T00:00:00.000Z,2020-06-08T00:00:00.000Z,7940
2020-06-10T00:00:00.000Z,2020-06-09T00:00:00.000Z,8529
2020-06-11T00:00:00.000Z,2020-06-10T00:00:00.000Z,8580
2020-06-12T00:00:00.000Z,2020-06-11T00:00:00.000Z,8860
2020-06-13T00:00:00.000Z,2020-06-12T00:00:00.000Z,9248
2020-06-14T00:00:00.000Z,2020-06-13T00:00:00.000Z,9540
2020-06-15T00:00:00.000Z,2020-06-14T00:00:00.000Z,8537
2020-06-16T00:00:00.000Z,2020-06-15T00:00:00.000Z,7800
2020-06-17T00:00:00.000Z,2020-06-16T00:00:00.000Z,8521
2020-06-18T00:00:00.000Z,2020-06-17T00:00:00.000Z,9641
2020-06-19T00:00:00.000Z,2020-06-18T00:00:00.000Z,8812
2020-06-20T00:00:00.000Z,2020-06-19T00:00:00.000Z,10242
2020-06-21T00:00:00.000Z,2020-06-20T00:00:00.000Z,8967
2020-06-22T00:00:00.000Z,2020-06-21T00:00:00.000Z,8887
2020-06-23T00:00:00.000Z,2020-06-22T00:00:00.000Z,7608
2020-06-24T00:00:00.000Z,2020-06-23T00:00:00.000Z,7851
2020-06-25T00:00:00.000Z,2020-06-24T00:00:00.000Z,8918
2020-06-26T00:00:00.000Z,2020-06-25T00:00:00.000Z,10142
2020-06-27T00:00:00.000Z,2020-06-26T00:00:00.000Z,9279
2020-06-28T00:00:00.000Z,2020-06-27T00:00:00.000Z,9444
2020-06-29T00:00:00.000Z,2020-06-28T00:00:00.000Z,8200
2020-06-30T00:00:00.000Z,2020-06-29T00:00:00.000Z,7374
2020-07-01T00:00:00.000Z,2020-06-30T00:00:00.000Z,8239
2020-07-02T00:00:00.000Z,2020-07-01T00:00:00.000Z,8353
2020-07-03T00:00:00.000Z,2020-07-02T00:00:00.000Z,8212
2020-07-04T00:00:00.000Z,2020-07-03T00:00:00.000Z,8675
2020-07-05T00:00:00.000Z,2020-07-04T00:00:00.000Z,9258
2020-07-06T00:00:00.000Z,2020-07-05T00:00:00.000Z,7895
2020-07-07T00:00:00.000Z,2020-07-06T00:00:00.000Z,6969
2020-07-08T00:00:00.000Z,2020-07-07T00:00:00.000Z,7369
2020-07-09T00:00:00.000Z,2020-07-08T00:00:00.000Z,7932
2020-07-10T00:00:00.000Z,2020-07-09T00:00:00.000Z,8017
2020-07-11T00:00:00.000Z,2020-07-10T00:00:00.000Z,7567
2020-07-12T00:00:00.000Z,2020-07-11T00:00:00.000Z,6842
2020-07-13T00:00:00.000Z,2020-07-12T00:00:00.000Z,7332
2020-07-14T00:00:00.000Z,2020-07-13T00:00:00.000Z,7391
2020-07-15T00:00:00.000Z,2020-07-14T00:00:00.000Z,7475
2020-07-16T00:00:00.000Z,2020-07-15T00:00:00.000Z,7880
2020-07-17T00:00:00.000Z,2020-07-16T00:00:00.000Z,7446
2020-07-18T00:00:00.000Z,2020-07-17T00:00:00.000Z,7350
2020-07-19T00:00:00.000Z,2020-07-18T00:00:00.000Z,7494
2020-07-20T00:00:00.000Z,2020-07-19T00:00:00.000Z,7216
2020-07-21T00:00:00.000Z,2020-07-20T00:00:00.000Z,6650
2020-07-22T00:00:00.000Z,2020-07-21T00:00:00.000Z,7073
2020-07-23T00:00:00.000Z,2020-07-22T00:00:00.000Z,9088
2020-07-24T00:00:00.000Z,2020-07-23T00:00:00.000Z,7037
2020-07-25T00:00:00.000Z,2020-07-24T00:00:00.000Z,7476
2020-07-26T00:00:00.000Z,2020-07-25T00:00:00.000Z,6931
2020-07-27T00:00:00.000Z,2020-07-26T00:00:00.000Z,7854
2020-07-28T00:00:00.000Z,2020-07-27T00:00:00.000Z,7056
2020-07-29T00:00:00.000Z,2020-07-28T00:00:00.000Z,6326
2020-07-30T00:00:00.000Z,2020-07-29T00:00:00.000Z,7647
2020-07-31T00:00:00.000Z,2020-07-30T00:00:00.000Z,7550
2020-08-01T00:00:00.000Z,2020-07-31T00:00:00.000Z,7402
2020-08-02T00:00:00.000Z,2020-08-01T00:00:00.000Z,7818
2020-08-03T00:00:00.000Z,2020-08-02T00:00:00.000Z,6982
2020-08-04T00:00:00.000Z,2020-08-03T00:00:00.000Z,6650
2020-08-05T00:00:00.000Z,2020-08-04T00:00:00.000Z,7464
2020-08-06T00:00:00.000Z,2020-08-05T00:00:00.000Z,7204
2020-08-07T00:00:00.000Z,2020-08-06T00:00:00.000Z,7208
2020-08-08T00:00:00.000Z,2020-08-07T00:00:00.000Z,7738
2020-08-09T00:00:00.000Z,2020-08-08T00:00:00.000Z,7261
2020-08-10T00:00:00.000Z,2020-08-09T00:00:00.000Z,6891
2020-08-11T00:00:00.000Z,2020-08-10T00:00:00.000Z,7500
2020-08-12T00:00:00.000Z,2020-08-11T00:00:00.000Z,7454
2020-08-13T00:00:00.000Z,2020-08-12T00:00:00.000Z,8178
2020-08-14T00:00:00.000Z,2020-08-13T00:00:00.000Z,7622
2020-08-15T00:00:00.000Z,2020-08-14T00:00:00.000Z,8367
2020-08-16T00:00:00.000Z,2020-08-15T00:00:00.000Z,7737
2020-08-17T00:00:00.000Z,2020-08-16T00:00:00.000Z,7771
2020-08-18T00:00:00.000Z,2020-08-17T00:00:00.000Z,7072
2020-08-19T00:00:00.000Z,2020-08-18T00:00:00.000Z,6899
2020-08-20T00:00:00.000Z,2020-08-19T00:00:00.000Z,7436
2020-08-21T00:00:00.000Z,2020-08-20T00:00:00.000Z,7400
2020-08-22T00:00:00.000Z,2020-08-21T00:00:00.000Z,7755
2020-08-23T00:00:00.000Z,2020-08-22T00:00:00.000Z,7669
2020-08-24T00:00:00.000Z,2020-08-23T00:00:00.000Z,7738
2020-08-25T00:00:00.000Z,2020-08-24T00:00:00.000Z,6311
2020-08-26T00:00:00.000Z,2020-08-25T00:00:00.000Z,8315
2020-08-27T00:00:00.000Z,2020-08-26T00:00:00.000Z,7229
2020-08-28T00:00:00.000Z,2020-08-27T00:00:00.000Z,7020
2020-08-29T00:00:00.000Z,2020-08-28T00:00:00.000Z,7178
2020-08-30T00:00:00.000Z,2020-08-29T00:00:00.000Z,7576
2020-08-31T00:00:00.000Z,2020-08-30T00:00:00.000Z,6783
2020-09-01T00:00:00.000Z,2020-08-31T00:00:00.000Z,6704
